standard_code,standard_text_az,aspect_code,aspect_name_az,alignment_strength
1-2.4,Mətndəki fakt və hadisələrlə bağlı şəxsi münasibətini ifadə edir.,PISA_EVL,Qiymətləndirmək və mühakimə yürütmək,high
10-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PIRLS_RET,Açıq-aydın verilmiş məlumatı tapmaq,high
10-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PIRLS_RET,Açıq-aydın verilmiş məlumatı tapmaq,high
10-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PISA_LOC,Məlumatı tapmaq və çıxarmaq,high
10-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PISA_LOC,Məlumatı tapmaq və çıxarmaq,high
10-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PIRLS_INF,Sadə nəticələr çıxarmaq,high
10-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PIRLS_INF,Sadə nəticələr çıxarmaq,high
10-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PISA_UND,Mətnə anlamaq və başa düşmək,high
10-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PISA_UND,Mətnə anlamaq və başa düşmək,high
10-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PIRLS_EXM,Məzmunu təhlil və qiymətləndirmək,high
10-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PIRLS_EXM,Məzmunu təhlil və qiymətləndirmək,high
10-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PISA_EVL,Qiymətləndirmək və mühakimə yürütmək,high
10-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PISA_EVL,Qiymətləndirmək və mühakimə yürütmək,high
11-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PIRLS_RET,Açıq-aydın verilmiş məlumatı tapmaq,high
11-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PIRLS_RET,Açıq-aydın verilmiş məlumatı tapmaq,high
11-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PISA_LOC,Məlumatı tapmaq və çıxarmaq,high
11-2.1,Oxuduğu mətndəki məlumatları müəyyənləşdirir.,PISA_LOC,Məlumatı tapmaq və çıxarmaq,high
11-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PIRLS_INF,Sadə nəticələr çıxarmaq,high
11-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PIRLS_INF,Sadə nəticələr çıxarmaq,high
11-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PISA_UND,Mətnə anlamaq və başa düşmək,high
11-2.2,Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,PISA_UND,Mətnə anlamaq və başa düşmək,high
11-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PIRLS_EXM,Məzmunu təhlil və qiymətləndirmək,high
11-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PIRLS_EXM,Məzmunu təhlil və qiymətləndirmək,high
11-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PISA_EVL,Qiymətləndirmək və mühakimə yürütmək,high
11-2.3,"Mətni ideya, məzmun, struktur və dil-üslub baxımından təhlil edir.",PISA_EVL,Qiymətləndirmək və mühakimə yürütmək,high
